trade,band,band_label,metric,value,source,source_access,confidence,basis
fire-life-safety,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,Construction Financial Management Association (CFMA) 2024,citation-text-only,low,Average days sales outstanding (DSO) for construction contractors
fire-life-safety,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,50,Breakwater M&A 2025 https://www.breakwaterma.com,url,low,"Target recurring revenue mix from inspection, testing, and maintenance contracts for fire protection contractors"
fire-life-safety,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2025 https://cfma.org,url,low,Gross profit margin for Specialty Trade contractors overall
fire-life-safety,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,95,IronGrid 2026 https://irongridapp.com,url,low,Cash collected as percentage of amounts billed for trade contractors
fire-life-safety,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,55.2,Construction Financial Management Association (CFMA) 2025 https://cfma.org,url,low,Days in accounts receivable (DSO) across CFMA benchmarked contractors
fire-life-safety,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,21.8,Construction Financial Management Association (CFMA) 2024,citation-text-only,med,Specialty Trade Contractors top-tier gross profit margin benchmark in CFMA 2024 Benchmarker
fire-life-safety,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
fire-life-safety,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,56.6,Construction Financial Management Association (CFMA) 2024,citation-text-only,med,Specialty Trade Contractors average Days Sales Outstanding (DSO) in CFMA 2024 Benchmarker
fire-life-safety,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,CFMA 2025 Construction Financial Benchmarker (https://www.cfma.org),url,med,"Specialty Trades segment gross profit margin across 1,558 respondents (fiscal 2024 survey data)"
fire-life-safety,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
fire-life-safety,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,CFMA 2024 Construction Financial Benchmarker (https://www.cfma.org),url,med,Days sales outstanding (DSO) benchmark for Specialty Trade contractors
fire-life-safety,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,40,CT Acquisitions 2026 (https://ctacquisitions.com),url,med,"Contracted inspection, testing, and maintenance (ITM) recurring revenue share benchmark for regional fire protection contractors"
low-voltage-security,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,22.4,CFMA 2024 Construction Financial Benchmarker https://cfma.org,url,med,Gross profit margin % for Specialty Trade Contractors including NAICS 238210
low-voltage-security,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
low-voltage-security,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,CFMA 2024 Construction Financial Benchmarker https://cfma.org,url,med,Average Days Sales Outstanding (DSO) for Specialty Trade Contractors
low-voltage-security,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,2,NSCA 2024 Financial Analysis of the Industry https://nsca.org,url,high,Recurring service revenue share % for the smallest systems integrator revenue tier (<$1M)
low-voltage-security,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,34.2,"National Systems Contractors Association (NSCA), 2025",citation-text-only,low,Median gross profit margin across commercial low-voltage and systems integration firms
low-voltage-security,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,58,"Construction Financial Management Association (CFMA), 2022, https://www.cfma.org",url,low,Median days sales outstanding (DSO) across responding construction contractors
low-voltage-security,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,14.2,"National Systems Contractors Association (NSCA), 2025",citation-text-only,low,Average recurring revenue percentage across commercial integration firms
low-voltage-security,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,34.2,National Systems Contractors Association (NSCA) 2025 https://www.nsca.org,url,low,Median gross profit margin across commercial systems integrators
low-voltage-security,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
low-voltage-security,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://www.cfma.org,url,med,Days sales outstanding for specialty trade contractors
low-voltage-security,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,14.2,National Systems Contractors Association (NSCA) 2025 https://www.nsca.org,url,low,Average recurring revenue share from service agreements and managed services for systems integrators
low-voltage-security,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,CFMA 2025 https://cfma.org,url,low,Specialty trade contractors aggregate gross profit margin (2025 Benchmarker)
low-voltage-security,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
low-voltage-security,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,CFMA 2025 https://cfma.org,url,low,Specialty trade contractors average days in accounts receivable (2025 Benchmarker)
low-voltage-security,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,51,SDM Magazine 2026 https://www.sdmmag.com,url,low,Annualized RMR as share of total revenue for SDM 100 security integrators
restoration,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,50,Restoration Industry Association 2024,citation-text-only,low,Industry-wide average gross profit margin across property restoration contractors
restoration,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,52.5,Restoration Industry Association 2024,citation-text-only,low,Industry-wide average days sales outstanding (45 to 60 days standard benchmark range)
restoration,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,0,IBISWorld 2025 https://www.ibisworld.com/united-states/market-research-reports/damage-restoration-services-industry,url,low,Industry-wide share of recurring maintenance/service agreement revenue (transactional/event-based emergency work)
restoration,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,50,Restoration Industry Association 2024,citation-text-only,high,Average gross profit margin for restoration contractors ($1M-$5.99M revenue tier)
restoration,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,Construction Financial Management Association 2024 https://cfma.org,url,low,Industry-average Days Sales Outstanding across construction financial benchmark respondents
restoration,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,50,"Restoration Industry Association (RIA) & KnowHow, 2024, https://www.restorationindustry.org",url,high,Average gross profit margin reported across restoration and remediation contractors nationwide
restoration,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,high,"Median cash collected as a percentage of amounts billed, n=464 companies"
restoration,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,57,"2025, https://www.levelcfo.com",url,med,Average Days Sales Outstanding (DSO) for specialty trade contractors
restoration,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 https://www.cfma.org,url,low,Average gross profit margin for Specialty Trade contractors across all revenue tiers
restoration,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
restoration,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,58,Construction Financial Management Association (CFMA) 2022 https://www.cfma.org,url,low,Average days sales outstanding (DSO) for accounts receivable collection across construction contractors
