trade,state_name,state,median_hourly_wage_usd,wage_differential_vs_national_pct,median_wage_source,license_regime,license_source
glass-glazing,Arizona,AZ,23.47,-4.48,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2023, https://www.bls.gov/oes/current/oes_az.htm","A state-level license issued by the Arizona Registrar of Contractors (ROC) is required for any project exceeding $1,000 in labor and materials or requiring a permit. Arizona offers three specific glazing contractor license tiers/classifications: Specialty Commercial Glazing (C-65), Specialty Residential Glazing (R-65), and Dual Commercial/Residential Glazing (CR-65).","Arizona Registrar of Contractors (ROC), 2024, https://roc.az.gov/license-classifications"
glass-glazing,Arkansas,AR,18,-26.74,"U.S. Bureau of Labor Statistics, Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ar.htm","Contractor licensing in Arkansas is managed at the state level by the Arkansas Contractors Licensing Board (ACLB). Commercial projects valued at $50,000 or more (inclusive of labor and materials) require a Commercial Contractor License, which includes Specialty classifications such as Glass and Glazing. For residential work, a Residential Builder, Remodeler, or Home Improvement Specialty license is required for projects over $2,000. Subcontractors performing work under a licensed contractor may obtain a subcontractor certificate/registration from the board.","Arkansas Contractors Licensing Board, 2024, https://aclb.arkansas.gov"
glass-glazing,California,CA,29.75,21.08,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2023, https://www.bls.gov/oes/current/oes_ca.htm","State-level license required for any glazing work where project labor and materials total $500 or more. Issued statewide by the Contractors State License Board (CSLB), part of the California Department of Consumer Affairs. Classification falls under Specialty Contractors (Class C), specifically Class C-17 Glazing Contractor.","California Contractors State License Board (CSLB), 2024, https://www.cslb.ca.gov"
glass-glazing,Colorado,CO,28.57,16.28,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_co.htm","No statewide contractor license is required for glaziers in Colorado. The Colorado Department of Regulatory Agencies (DORA) regulates specific trades statewide (such as electricians and plumbers), but specialty trade licensing for glass and glazing contractors is handled entirely at the local city and county level.","Colorado Department of Regulatory Agencies (DORA) Division of Professions and Occupations, 2024, https://dora.colorado.gov"
glass-glazing,Connecticut,CT,29.05,18.23,"BLS OEWS, May 2023, https://www.bls.gov/oes/current/oes_ct.htm","State-level licensing is required by the Department of Consumer Protection (DCP). License tiers include FG-1 (Glazier Contractor - Flat Glass), FG-2 (Glazier Journeyperson - Flat Glass), AG-1 (Auto Glass Technician Contractor), and AG-2 (Auto Glass Technician Journeyperson).","Connecticut Department of Consumer Protection, 2024"
glass-glazing,Delaware,DE,22.43,-8.71,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023 State Occupational Employment and Wage Estimates - Delaware and National (2024) https://www.bls.gov/oes/current/oes_de.htm","Delaware does not require or issue a state-level trade license specifically for glass & glazing (glaziers). State trade licenses administered by the Division of Professional Regulation are restricted to electrical, plumbing, and HVACR. However, all contractors operating in Delaware must obtain a state contractor business license from the Delaware Division of Revenue and register with the Delaware Department of Labor Office of Contractor Registration under the Delaware Contractor Registration Act. Local municipalities (such as Wilmington or Dover) and counties may enforce local contractor permits or licensing.",Delaware Division of Professional Regulation and Delaware Department of Labor Office of Contractor Registration (2024) https://dpr.delaware.gov/ and https://labor.delaware.gov
glass-glazing,Florida,FL,22.16,-9.81,"U.S. Bureau of Labor Statistics (BLS) OEWS, 2024, https://www.bls.gov/oes/current/oes_fl.htm",State-level licensing is required in Florida for Glass & Glazing specialty contractors through the Department of Business and Professional Regulation (DBPR) Construction Industry Licensing Board (CILB) pursuant to Florida Statutes Chapter 489. License tiers include Certified Glass & Glazing Specialty Contractor (authorizing statewide practice) and Registered Specialty Contractor (restricted to specific county or municipal jurisdictions where local competency requirements are met).,"Florida Department of Business and Professional Regulation (DBPR) Construction Industry Licensing Board, 2024, https://www.myfloridalicense.com/DBPR/construction-industry"
glass-glazing,Georgia,GA,21.62,-7.69,"U.S. Bureau of Labor Statistics (BLS), May 2022 State Occupational Employment and Wage Estimates - Georgia, 2023, https://www.bls.gov/oes/2022/may/oes_ga.htm","No state-level specialty trade license is required for glass and glazing contractors in Georgia. Under O.C.G.A. § 43-41-17, specialty contractors performing trade work (including storefronts and glazing) are exempt from state general contractor licensing provided work stays within their trade scope. Licensing and occupational tax certificates are mandated at the local city or county level.","Georgia Secretary of State, State Licensing Board for Residential and General Contractors, 'Exempt Specialty Contractors', 2024, https://sos.ga.gov/page/residential-and-commercial-general-contractor-exemptions"
glass-glazing,Hawaii,HI,44.47,80.99,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates: Hawaii, 2024, https://www.bls.gov/oes/current/oes_hi.htm","State-level contractor licensure is required in Hawaii for construction work exceeding $1,500 (labor and materials). Licensing is administered by the Contractors License Board within the Department of Commerce and Consumer Affairs (DCCA). Glass and glazing is classified as a Specialty Contractor license under Class C-22 (Glazing and tinting contractor) or C-22a (Glass tinting contractor). Tiers include Sole Proprietor, Entity, and Responsible Managing Employee (RME), requiring 4 years of supervisory experience within the past 10 years and passing a two-part licensing exam.","Hawaii Department of Commerce and Consumer Affairs (DCCA), Professional and Vocational Licensing Division, Contractors License Board, 2024, https://cca.hawaii.gov/pvl/boards/contractor"
glass-glazing,Idaho,ID,22.56,-8.18,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates - Idaho (Idaho median $22.56/hr vs US national median $24.57/hr), https://www.bls.gov/oes/current/oes_id.htm","Idaho does not issue a specific state trade license for Glaziers. Instead, contractors performing construction projects exceeding $2,000 in labor and materials must register with the Idaho Contractors Board through the Division of Occupational and Professional Licenses (DOPL). Registration is administrative and requires no trade examination, although local jurisdictions (such as the City of Idaho Falls) may require local licensing or permitting.","Idaho Division of Occupational and Professional Licenses (DOPL), Idaho Contractors Board, 2024, https://dopl.idaho.gov"
glass-glazing,Illinois,IL,35.63,45.01,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_il.htm","Illinois does not mandate or issue a state-level contractor license for the Glass & Glazing trade (SOC 47-2121). The Illinois Department of Financial and Professional Regulation (IDFPR) regulates specific specialty trades such as roofing and plumbing at the state level, while glazing contractor licensing and registration are handled at the local municipal or county level (e.g., City of Chicago Department of Buildings).","Illinois Department of Financial and Professional Regulation (IDFPR), 2024, https://idfpr.illinois.gov"
glass-glazing,Indiana,IN,24.38,-0.77,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023 State Occupational Employment and Wage Estimates - Indiana, released April 2024, https://www.bls.gov/oes/current/oes_in.htm","Indiana does not require or issue a state-level contractor license for glaziers or general contractors. Plumbing is the only construction trade licensed at the state level. Glazing contractors are regulated and registered at the local city or county level (e.g., Indianapolis/Marion County Department of Business and Neighborhood Services, Allen County Building Department).","Indiana Professional Licensing Agency (IPLA), 2026, https://www.in.gov/pla"
glass-glazing,Iowa,IA,25.18,2.48,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2023, https://www.bls.gov/oes/current/oes_ia.htm","No state-level trade license is required specifically for Glaziers in Iowa. However, under Iowa Code Chapter 91C, any contractor performing construction work who earns $2,000 or more annually must register with the Iowa Department of Inspections, Appeals, and Licensing (DIAL). No state-level trade examination or licensing tiers exist for glaziers, though municipal or county permits and registrations may apply locally.","Iowa Department of Inspections, Appeals, and Licensing (DIAL) / Iowa Code Chapter 91C, 2024"
glass-glazing,Kansas,KS,22.82,-7.12,"U.S. Bureau of Labor Statistics (BLS), May 2023 State Occupational Employment and Wage Statistics (OEWS), https://www.bls.gov/oes/current/oes_ks.htm","The State of Kansas does not maintain or require a state-level contractor license for glaziers or specialty trade contractors; contractor licensing and regulation are administered entirely at the local city and county level (e.g., Johnson County and Wichita-Sedgwick County Metropolitan Area Building and Construction Department).","Kansas Contractor Regulatory Agencies Framework / Sedgwick County Metropolitan Area Building and Construction Department (MABCD), 2025, https://www.sedgwickcounty.org/mabcd/contractor-licensing"
glass-glazing,Kentucky,KY,23.73,-3.42,"U.S. Bureau of Labor Statistics, May 2023 OEWS State Occupational Employment and Wage Estimates - Kentucky, 2024, https://www.bls.gov/oes/current/oes_ky.htm","No state-level contractor license is required for glass and glazing in Kentucky. The Kentucky Department of Housing, Buildings and Construction (DHBC) regulates only specific specialty trades at the state level (electrical, plumbing, HVAC, boilers, and fire protection). Glass and glazing contractors are regulated at the local city and county level.","Kentucky Department of Housing, Buildings and Construction (DHBC), 2024, https://dhbc.ky.gov"
glass-glazing,Louisiana,LA,21.07,-14.24,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_la.htm","In Louisiana, a state-level contractor license issued by the Louisiana State Licensing Board for Contractors (LSLBC) is required for commercial projects valued at $50,000 or more (under the specialty classification 'Glass, Glazing, Store Fronts, Metal Partitions, Panels and Siding' or 'Building Construction') and for new residential construction valued at $50,000 or more. Home improvement work on existing residential structures valued between $7,500 and $50,000 requires a Home Improvement Registration. Work below these state thresholds is subject to local parish/city rules or does not require state licensing. License tiers include Commercial Contractor License, Residential Contractor License, Home Improvement Registration, and a Labor Only subclassification.","Louisiana State Licensing Board for Contractors (LSLBC), 2024, https://lslbc.gov"
glass-glazing,Maine,ME,23.69,-3.58,"U.S. Bureau of Labor Statistics, Occupational Employment and Wage Statistics (OEWS), May 2023 (released April 2024), https://www.bls.gov/oes/current/oes_me.htm","No statewide license is required for the Glass & Glazing trade (glaziers) in Maine. State-level trade licensing is limited to electricians, plumbers, and fuel technicians administered by the Office of Professional and Occupational Regulation (OPOR). Glazing contractors are regulated at the municipal level via local business licenses and building permits.","Maine Department of Professional and Financial Regulation (DPFR), Office of Professional and Occupational Regulation (OPOR), 2024, https://www.maine.gov/pfr/professionallicensing"
glass-glazing,Maryland,MD,28.86,17.46,"U.S. Bureau of Labor Statistics (BLS), May 2023 Occupational Employment and Wage Statistics (OEWS), https://www.bls.gov/oes/current/oes_md.htm",State-level licensing is required for residential glazing and home improvement work through the Maryland Home Improvement Commission (MHIC) under the Maryland Department of Labor for projects of $500 or more. Commercial glazing contractors are not licensed at the state level; commercial work is regulated locally at the county level by the Clerk of the Circuit Court. Independent subcontractors performing work solely under a licensed MHIC contractor do not need a separate subcontractor license.,"Maryland Department of Labor, Maryland Home Improvement Commission (MHIC), 2024, https://www.labor.maryland.gov/license/mhic"
glass-glazing,Massachusetts,MA,30.43,23.85,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ma.htm","Massachusetts does not issue a standalone state-level glazier trade license. Regulation occurs at the state level under the Board of Building Regulations and Standards (BBRS) and the Office of Consumer Affairs and Business Regulation (OCABR): supervisory work on structural installations (including window/wall systems) requires a Construction Supervisor License (CSL; available as Unrestricted, Restricted, or Specialty Window and Siding CSL), and contractors performing residential work on 1-to-4 family dwellings must register as a Home Improvement Contractor (HIC).","Massachusetts Board of Building Regulations and Standards (BBRS) / Office of Consumer Affairs and Business Regulation (OCABR), 2024, https://www.mass.gov/orgs/board-of-building-regulations-and-standards"
glass-glazing,Michigan,MI,24.61,0.16,"U.S. Bureau of Labor Statistics, May 2023 OEWS State and National Occupational Employment and Wage Estimates, 2024, https://www.bls.gov/oes/current/oes_mi.htm","In Michigan, state-level licensing is required for residential glazing and glass installation projects valued over $600 through the Department of Licensing and Regulatory Affairs (LARA). Applicants must obtain either a Residential Builder license or a Residential Maintenance & Alteration (M&A) Contractor license. Commercial glazing is not licensed at the state level.","Michigan Department of Licensing and Regulatory Affairs (LARA), Bureau of Construction Codes, Act 299 of 1980 (Michigan Occupational Code), 2024, https://www.michigan.gov/lara"
glass-glazing,Minnesota,MN,37.09,50.96,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_mn.htm (State) and https://www.bls.gov/oes/current/oes472121.htm (National)",No state-level trade license is required specifically for glaziers in Minnesota. Specialty contractors providing only one specialty skill (such as glazing) are exempt from state residential building contractor licensing unless they contract directly with homeowners on residential projects involving multiple skills or act as general residential building contractors/remodelers. Unlicensed specialty contractors and commercial subcontractors must register with the state through the Construction Contractor Registration Program. Local municipalities (such as the City of Minneapolis) may require local specialty contractor licensing.,"Minnesota Department of Labor and Industry (DLI), 2024"
glass-glazing,Mississippi,MS,18.33,-25.4,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2023 (published April 2024), https://www.bls.gov/oes/current/oes_ms.htm","At the state level, the Mississippi State Board of Contractors (MSBOC) requires a commercial contractor license under the specialty classification 'Glass, Glazing, Windows and Skylights' for commercial projects valued at over $50,000. Residential work exceeding $50,000 for new construction or $10,000 for remodeling requires a residential contractor license. Local municipalities may also enforce additional permit or license requirements.","Mississippi State Board of Contractors (MSBOC), 2024, https://www.msboc.us"
glass-glazing,Missouri,MO,24.97,1.63,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_mo.htm","Missouri does not issue or require a contractor license at the state level for general contracting or specialty trades like glass and glazing (SOC 47-2121). Contracting licenses, trade exams, and business registrations are regulated entirely at the municipal and county levels (e.g., Kansas City, St. Louis).","Missouri Division of Professional Registration, 2026, https://pr.mo.gov"
glass-glazing,Montana,MT,23,-6.39,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_mt.htm","No trade-specific state license is required for glaziers in Montana. However, under Montana Code Annotated (MCA) Title 39, Chapter 9, construction contractors with employees must register with the Montana Department of Labor & Industry (DLI) via Construction Contractor Registration (CCR), while sole proprietors without employees must hold an Independent Contractor Exemption Certificate (ICEC). No trade competency exams or trade license tiers exist for glass and glazing at the state level.","Montana Department of Labor and Industry, Construction Contractor Registration, 2024, https://erd.dli.mt.gov/work-comp-regulations/montana-contractor/construction-contractor-registration"
glass-glazing,Nebraska,NE,26.29,7,"U.S. Bureau of Labor Statistics (BLS) State OEWS, 2023, https://www.bls.gov/oes/current/oes_ne.htm","Nebraska does not require a state-level trade license specifically for glaziers or glazing contractors. However, any contractor or subcontractor doing business in Nebraska who earns $2,000 or more annually from construction work must register administratively with the Nebraska Department of Labor under the Contractor Registration Act. There are no state-level trade exam, skill, or experience tiers. Specialty contractor licensing and trade regulation apply at the local city/county level (e.g., Omaha, Lincoln).","Nebraska Department of Labor, 2025 Contractor Registration Act, https://dol.nebraska.gov/conreg"
glass-glazing,Nevada,NV,23.84,-2.97,"U.S. Bureau of Labor Statistics OEWS, May 2023, https://www.bls.gov/oes/current/oes_nv.htm","In Nevada, glass and glazing contracting requires a state-level license issued by the Nevada State Contractors Board (NSCB) under Specialty License Classification C-8 (Glass and Glazing Contracting). Local city or county licenses are administrative only and do not replace state-level contractor licensing. License tiers exist in the form of board-established monetary limits, which restrict the dollar value of contracts a licensee may undertake based on financial standing and experience.","Nevada State Contractors Board, 2024, https://www.nvcontractorsboard.com"
glass-glazing,New Hampshire,NH,29.53,20.19,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_nh.htm",No state-level license is required to practice as a glazier or operate a glazing contracting business in New Hampshire. State trade licensing managed by OPLC is restricted to specific trades like electricians and plumbers; there are no state-level licensing tiers for glass and glazing contractors.,"New Hampshire Office of Professional Licensure and Certification (OPLC), 2024, https://www.oplc.nh.gov"
glass-glazing,New Jersey,NJ,42,70.94,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_nj.htm","New Jersey does not offer or require a trade-specific state license for Glaziers. However, under the Contractors' Business Registration Act (N.J.S.A. 56:8-136 et seq.) and the Home Improvement and Home Elevation Contractor Licensing Act (N.J.S.A. 45:5AAA-1 et seq., P.L. 2023, c. 237), contractors performing residential glass installation or home improvement work valued over $500 must register/be licensed as a Home Improvement Contractor Business (HICB) with the State Board of Home Improvement and Home Elevation Contractors under the New Jersey Division of Consumer Affairs. Commercial-only glazing work is exempt from HIC registration.","New Jersey Division of Consumer Affairs, 2024, https://www.njconsumeraffairs.gov"
glass-glazing,New Mexico,NM,24,-2.32,"U.S. Bureau of Labor Statistics, May 2023 OEWS, https://www.bls.gov/oes/current/oes_nm.htm","State-level licensure is required for construction work exceeding $7,200 annually, administered by the New Mexico Regulation and Licensing Department (NMRLD) Construction Industries Division (CID). Trade classifications covering glazing and window installation include specialty classification GS-14 (Windows, doors and skylights) as well as general building classifications GB-2 (Residential) and GB-98 (General Building).","New Mexico Regulation and Licensing Department, Construction Industries Division, 2024, https://www.rld.nm.gov/construction-industries"
glass-glazing,New York,NY,31.45,28,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ny.htm","New York State does not require or issue a statewide license for Glaziers (SOC 47-2121) or general contractors. Construction trade contractor licensing and registration are regulated at the local municipality, city, and county level (e.g., NYC Department of Buildings and NYC Department of Consumer and Worker Protection).","New York State Department of State (NYSDOS) Division of Licensing Services, 2024, https://dos.ny.gov/licensing-services"
glass-glazing,North Carolina,NC,19.98,-18.68,"U.S. Bureau of Labor Statistics (BLS), Occupational Employment and Wage Statistics (OEWS), May 2023 State Occupational Employment and Wage Estimates: North Carolina (https://www.bls.gov/oes/current/oes_nc.htm) and May 2023 National Occupational Employment and Wage Estimates (https://www.bls.gov/oes/current/oes_nat.htm)","In North Carolina, no standalone state trade license is required specifically for glass and glazing on lower-value jobs, but any construction project (including glazing) valued at $30,000 or more requires a General Contractor license issued by the North Carolina Licensing Board for General Contractors (NCLBGC). The board offers three license tiers based on single-project financial limits: Limited (projects up to $750,000), Intermediate (projects up to $1,500,000), and Unlimited (no project cost limit).","North Carolina Licensing Board for General Contractors (NCLBGC) and N.C. Gen. Stat. § 87-1 et seq., 2023, https://nclbgc.org"
glass-glazing,North Dakota,ND,29.04,18.19,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023, https://www.bls.gov/oes/current/oes_nd.htm","North Dakota requires a statewide contractor license administered by the North Dakota Secretary of State under N.D. Cent. Code Chapter 43-07 for any construction, alteration, or repair work (including specialty trades like glass and glazing) where a single project value exceeds $4,000. There is no separate trade-specific glazier license. The state issues licenses in four monetary class tiers based on single-project limits: Class A (unlimited contract value), Class B (up to $500,000), Class C (up to $300,000), and Class D (up to $100,000).","North Dakota Secretary of State, Contractor Licensing Division, 2024, https://sos.nd.gov"
glass-glazing,Ohio,OH,28.14,14.53,"U.S. Bureau of Labor Statistics (BLS), Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_oh.htm","No state-level license is required for Glaziers in Ohio. The Ohio Construction Industry Licensing Board (OCILB) regulates only five commercial specialty trades at the state level (Electrical, HVAC, Hydronics, Plumbing, and Refrigeration). Glazing contractors are licensed or registered at the local municipal/county level (e.g., Columbus, Cleveland, Cincinnati). Additionally, contractors performing residential services exceeding $25,000 must register with the Ohio Attorney General under ORC Chapter 4722.","Ohio Department of Commerce, Division of Industrial Compliance, Ohio Construction Industry Licensing Board (OCILB), 2024, https://com.ohio.gov/divisions-and-programs/industrial-compliance/boards/ohio-construction-industry-licensing-board"
glass-glazing,Oklahoma,OK,20.01,-18.56,"U.S. Bureau of Labor Statistics OEWS, May 2023, https://www.bls.gov/oes/current/oes_ok.htm","No state-level trade license is required for glaziers in Oklahoma. The Oklahoma Construction Industries Board (CIB) regulates specific specialty trades (electrical, plumbing, mechanical/HVAC, and roofing), while general contractors and other specialty trade contractors including glaziers are regulated at the local municipal or county level.","Oklahoma Construction Industries Board, 2024, https://cib.ok.gov"
glass-glazing,Oregon,OR,29.23,18.97,"BLS State OEWS, May 2023, https://www.bls.gov/oes/current/oes_or.htm","State-level contractor licensing is required in Oregon through the Construction Contractors Board (CCB) for businesses performing glass and glazing construction. Oregon does not issue a separate trade-specific glazier license at the state level; instead, glazing work is performed under CCB contractor licenses. Endorsement tiers depend on project scope and structure type, including Residential endorsements (General, Specialty, or Limited) and Commercial endorsements (General Level 1 and Level 2, Specialty Level 1 and Level 2).","Oregon Construction Contractors Board (CCB), 2024, https://www.oregon.gov/ccb/pages/index.aspx"
glass-glazing,Pennsylvania,PA,26.56,8.1,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates - Pennsylvania (published 2024), https://www.bls.gov/oes/current/oes_pa.htm; National comparison: U.S. Bureau of Labor Statistics, May 2023 National OEWS, https://www.bls.gov/oes/current/oes472121.htm","No state-level trade license is required specifically for glaziers in Pennsylvania; general construction and specialty trade licensing is managed at the local/municipal level. However, under the Home Improvement Consumer Protection Act (HICPA), contractors performing residential home improvement work valued at $500 or more annually must register with the Pennsylvania Office of Attorney General as Home Improvement Contractors. There are no state-level trade license tiers.","Pennsylvania Office of Attorney General, Home Improvement Consumer Protection Act (HICPA) Registration Program, 2024, https://www.attorneygeneral.gov/resources/home-improvement-contractor-registration"
glass-glazing,Rhode Island,RI,28.99,17.99,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ri.htm","Rhode Island does not issue a standalone trade license specifically for glaziers. However, under R.I. Gen. Laws § 5-65, all residential and commercial contractors and subcontractors performing construction, remodeling, or alterations must register at the state level with the Rhode Island Contractors' Registration and Licensing Board (CRLB). Registration requirements include completion of a 5-hour pre-registration education course (exempt if working exclusively on commercial structures).","Rhode Island Contractors' Registration and Licensing Board (CRLB) / Department of Business Regulation (DBR), 2024, https://crb.ri.gov"
glass-glazing,South Carolina,SC,22.47,-8.55,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_sc.htm","In South Carolina, a state-level license is required for commercial Glass and Glazing work exceeding $10,000 in total project cost, administered by the South Carolina Contractors' Licensing Board as a General Contractor Specialty Subclassification (S.C. Code Ann. § 40-11-410). General Contractor licenses are categorized into 5 Groups based on project financial limits: Group 1 (up to $100,000), Group 2 (up to $400,000), Group 3 (up to $1,000,000), Group 4 (up to $3,000,000), and Group 5 (Unlimited). For residential glazing projects exceeding $5,000, licensing is regulated under the SC Residential Builders Commission.","South Carolina Department of Labor, Licensing and Regulation (LLR) - Contractors' Licensing Board, 2023, https://llr.sc.gov/clb"
glass-glazing,South Dakota,SD,22.99,-6.43,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_sd.htm","South Dakota does not require a state-level license for glazier contractors or general contractors; statewide specialty trade licensing is restricted to electricians and plumbers. All construction contractors operating in South Dakota must obtain a Contractor's Excise Tax License through the South Dakota Department of Revenue, while glazier licensing and permitting are regulated at the municipal or county level.","South Dakota Department of Revenue, 2024, https://dor.sd.gov"
glass-glazing,Tennessee,TN,19.45,-20.84,"U.S. Bureau of Labor Statistics (BLS), May 2023 State Occupational Employment and Wage Estimates - Tennessee, 2024, https://www.bls.gov/oes/current/oes_tn.htm","In Tennessee, contractor licensing is regulated at the state level by the Tennessee Board for Licensing Contractors (under the Department of Commerce and Insurance). A state contractor license is required for any project or subcontract valued at $25,000 or more (labor and materials combined); work under $25,000 is governed by local municipal/county permitting or Home Improvement licensing rules. Glass and glazing work is classified under specialty trade BC-6 (Glass, Window and Door Construction), or under broader general classifications such as BC (General Building) or BC-B (Commercial Construction). Specialty subcontractors are only required to hold a state contractor license if their portion of the project equals or exceeds $25,000. License tiers (monetary limits) are established based on verified financial statements (net worth/working capital) or surety bonds and set project value ceilings (e.g., up to $500,000; $500,001 to $1,500,000 for BC-b small commercial; and $1,500,001+ for unlimited).","Tennessee Department of Commerce and Insurance, Board for Licensing Contractors, 'Classification Outline with Trade Exam Requirements', 2024, https://www.tn.gov/commerce/regboards/contractors.html"
glass-glazing,Texas,TX,22.18,-9.73,"U.S. Bureau of Labor Statistics, May 2023 OEWS (published 2024), https://www.bls.gov/oes/current/oes_tx.htm","Texas does not require or issue a state-level contractor license for glaziers or specialty glass contractors. Contracting licensing, business registrations, and permits for glazing work are managed at the local municipal or county level.","Texas Department of Licensing and Regulation (TDLR), 2024, https://www.tdlr.texas.gov"
glass-glazing,Utah,UT,25.32,3.05,"U.S. Bureau of Labor Statistics (BLS) OEWS / Utah Department of Workforce Services, May 2023, https://www.bls.gov/oes/2023/may/oes_ut.htm","Utah requires a state-level contractor license administered by the Division of Professional Licensing (DOPL) under the Utah Construction Trades Licensing Act for construction or specialty glazing work valued at $7,000 or more (labor and materials). Glazing is licensed under specialty classification S240 (Glass and Glazing Contractor) or broader general contractor classifications (e.g., B100 General Building, R100 Residential/Small Commercial). Local jurisdictions issue local business licenses but cannot set separate contractor qualification standards.","Utah Division of Professional Licensing (DOPL), 2026, https://dopl.utah.gov/contracting"
glass-glazing,Vermont,VT,25.18,2.48,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates - Vermont, 2024, https://www.bls.gov/oes/current/oes_vt.htm",No state-level trade license is required for glaziers or glass and glazing contractors in Vermont. Contractor licensing in Vermont is only required at the state level for specialized trades such as electricians and plumbers. General construction and glazing trades are managed via local building permits or municipal requirements.,"Vermont Secretary of State Office of Professional Regulation, 2024, https://sos.vermont.gov/opr"
glass-glazing,Virginia,VA,25.07,2.04,"U.S. Bureau of Labor Statistics (BLS) OEWS, 2023, https://www.bls.gov/oes/current/oes_va.htm","A state-level license issued by the Virginia Department of Professional and Occupational Regulation (DPOR) Board for Contractors is required for any contractor project valued at $1,000 or more. License tiers comprise Class C (projects from $1,000 to $10,000; up to $150,000 annually), Class B (projects from $10,000 to $120,000; up to $750,000 annually), and Class A (unlimited single-contract and annual monetary limits). Localities may require local business licenses, but trade contractor licensing is conducted at the state level.","Virginia Department of Professional and Occupational Regulation (DPOR) Board for Contractors, 2024, https://www.dpor.virginia.gov/Boards/Contractors"
glass-glazing,Washington,WA,31.01,26.21,"U.S. Bureau of Labor Statistics (BLS) May 2023 State Occupational Employment and Wage Estimates - Washington, 2024, https://www.bls.gov/oes/current/oes_wa.htm",State-level contractor registration is required in Washington under RCW 18.27. Glaziers operate as Specialty Contractors registered with the Washington State Department of Labor & Industries (L&I). The two registration tiers are General Contractor (can perform all types of construction work and hire subcontractors across specialties) and Specialty Contractor (restricted to work within their specified trade category and cannot hire subcontractors).,"Washington State Department of Labor & Industries (L&I), 2024, https://lni.wa.gov/licensing-permits/contractors/register-as-a-contractor"
glass-glazing,West Virginia,WV,18.6,-24.3,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2023, https://www.bls.gov/oes/current/oes_wv.htm","West Virginia requires a state-level contractor license issued by the West Virginia Contractor Licensing Board (administered by the West Virginia Division of Labor) for any contracting work exceeding $2,500 for residential projects or $5,000 for commercial projects. Glazing contractors operate under Specialty Contractor or General Building classifications.","West Virginia Contractor Licensing Board / West Virginia Division of Labor, 2024, https://labor.wv.gov"
